Date;Day;Weekday;Is_weekend;Is_holiday;Week_of_month;Week_of_year;Month;Quarter;Year
19.11.2012;19;2;0;0;4;47;11;4;2012
20.11.2012;20;3;0;0;4;47;11;4;2012
21.11.2012;21;4;0;0;4;47;11;4;2012
22.11.2012;22;5;0;1;4;47;11;4;2012
23.11.2012;23;6;0;1;4;47;11;4;2012
24.11.2012;24;7;1;0;4;47;11;4;2012
25.11.2012;25;1;1;0;5;48;11;4;2012
26.11.2012;26;2;0;0;5;48;11;4;2012
27.11.2012;27;3;0;0;5;48;11;4;2012
28.11.2012;28;4;0;0;5;48;11;4;2012
29.11.2012;29;5;0;0;5;48;11;4;2012
30.11.2012;30;6;0;0;5;48;11;4;2012
01.12.2012;1;7;1;0;1;48;12;4;2012
02.12.2012;2;1;1;0;2;49;12;4;2012
03.12.2012;3;2;0;0;2;49;12;4;2012
04.12.2012;4;3;0;0;2;49;12;4;2012
05.12.2012;5;4;0;0;2;49;12;4;2012
06.12.2012;6;5;0;0;2;49;12;4;2012
07.12.2012;7;6;0;0;2;49;12;4;2012
08.12.2012;8;7;1;0;2;49;12;4;2012
09.12.2012;9;1;1;0;3;50;12;4;2012
10.12.2012;10;2;0;0;3;50;12;4;2012
11.12.2012;11;3;0;0;3;50;12;4;2012
12.12.2012;12;4;0;0;3;50;12;4;2012
13.12.2012;13;5;0;0;3;50;12;4;2012
14.12.2012;14;6;0;0;3;50;12;4;2012
15.12.2012;15;7;1;0;3;50;12;4;2012
16.12.2012;16;1;1;0;4;51;12;4;2012
17.12.2012;17;2;0;0;4;51;12;4;2012
18.12.2012;18;3;0;0;4;51;12;4;2012
19.12.2012;19;4;0;0;4;51;12;4;2012
20.12.2012;20;5;0;0;4;51;12;4;2012
21.12.2012;21;6;0;0;4;51;12;4;2012
22.12.2012;22;7;1;0;4;51;12;4;2012
23.12.2012;23;1;1;0;5;52;12;4;2012
24.12.2012;24;2;0;0;5;52;12;4;2012
25.12.2012;25;3;0;1;5;52;12;4;2012
26.12.2012;26;4;0;0;5;52;12;4;2012
27.12.2012;27;5;0;0;5;52;12;4;2012
28.12.2012;28;6;0;0;5;52;12;4;2012
29.12.2012;29;7;1;0;5;52;12;4;2012
30.12.2012;30;1;1;0;6;53;12;4;2012
31.12.2012;31;2;0;0;6;53;12;4;2012
01.01.2013;1;3;0;1;1;1;1;1;2013
02.01.2013;2;4;0;0;1;1;1;1;2013
03.01.2013;3;5;0;0;1;1;1;1;2013
04.01.2013;4;6;0;0;1;1;1;1;2013
05.01.2013;5;7;1;0;1;1;1;1;2013
06.01.2013;6;1;1;0;2;2;1;1;2013
07.01.2013;7;2;0;0;2;2;1;1;2013
08.01.2013;8;3;0;0;2;2;1;1;2013
09.01.2013;9;4;0;0;2;2;1;1;2013
10.01.2013;10;5;0;0;2;2;1;1;2013
11.01.2013;11;6;0;0;2;2;1;1;2013
12.01.2013;12;7;1;0;2;2;1;1;2013
13.01.2013;13;1;1;0;3;3;1;1;2013
14.01.2013;14;2;0;0;3;3;1;1;2013
15.01.2013;15;3;0;0;3;3;1;1;2013
16.01.2013;16;4;0;0;3;3;1;1;2013
17.01.2013;17;5;0;0;3;3;1;1;2013
18.01.2013;18;6;0;0;3;3;1;1;2013
19.01.2013;19;7;1;0;3;3;1;1;2013
20.01.2013;20;1;1;0;4;4;1;1;2013
21.01.2013;21;2;0;1;4;4;1;1;2013
22.01.2013;22;3;0;0;4;4;1;1;2013
23.01.2013;23;4;0;0;4;4;1;1;2013
24.01.2013;24;5;0;0;4;4;1;1;2013
25.01.2013;25;6;0;0;4;4;1;1;2013
26.01.2013;26;7;1;0;4;4;1;1;2013
27.01.2013;27;1;1;0;5;5;1;1;2013
28.01.2013;28;2;0;0;5;5;1;1;2013
29.01.2013;29;3;0;0;5;5;1;1;2013
30.01.2013;30;4;0;0;5;5;1;1;2013
31.01.2013;31;5;0;0;5;5;1;1;2013
01.02.2013;1;6;0;0;1;5;2;1;2013
02.02.2013;2;7;1;0;1;5;2;1;2013
03.02.2013;3;1;1;0;2;6;2;1;2013
04.02.2013;4;2;0;0;2;6;2;1;2013
05.02.2013;5;3;0;0;2;6;2;1;2013
06.02.2013;6;4;0;0;2;6;2;1;2013
07.02.2013;7;5;0;0;2;6;2;1;2013
08.02.2013;8;6;0;0;2;6;2;1;2013
09.02.2013;9;7;1;0;2;6;2;1;2013
10.02.2013;10;1;1;0;3;7;2;1;2013
11.02.2013;11;2;0;0;3;7;2;1;2013
12.02.2013;12;3;0;0;3;7;2;1;2013
13.02.2013;13;4;0;0;3;7;2;1;2013
14.02.2013;14;5;0;0;3;7;2;1;2013
15.02.2013;15;6;0;0;3;7;2;1;2013
16.02.2013;16;7;1;0;3;7;2;1;2013
17.02.2013;17;1;1;0;4;8;2;1;2013
18.02.2013;18;2;0;1;4;8;2;1;2013
19.02.2013;19;3;0;0;4;8;2;1;2013
20.02.2013;20;4;0;0;4;8;2;1;2013
21.02.2013;21;5;0;0;4;8;2;1;2013
22.02.2013;22;6;0;0;4;8;2;1;2013
23.02.2013;23;7;1;0;4;8;2;1;2013
24.02.2013;24;1;1;0;5;9;2;1;2013
25.02.2013;25;2;0;0;5;9;2;1;2013
26.02.2013;26;3;0;0;5;9;2;1;2013
27.02.2013;27;4;0;0;5;9;2;1;2013
28.02.2013;28;5;0;0;5;9;2;1;2013
01.03.2013;1;6;0;0;1;9;3;1;2013
02.03.2013;2;7;1;0;1;9;3;1;2013
03.03.2013;3;1;1;0;2;10;3;1;2013
04.03.2013;4;2;0;0;2;10;3;1;2013
05.03.2013;5;3;0;0;2;10;3;1;2013
06.03.2013;6;4;0;0;2;10;3;1;2013
07.03.2013;7;5;0;0;2;10;3;1;2013
08.03.2013;8;6;0;0;2;10;3;1;2013
09.03.2013;9;7;1;0;2;10;3;1;2013
10.03.2013;10;1;1;0;3;11;3;1;2013
11.03.2013;11;2;0;0;3;11;3;1;2013
12.03.2013;12;3;0;0;3;11;3;1;2013
13.03.2013;13;4;0;0;3;11;3;1;2013
14.03.2013;14;5;0;0;3;11;3;1;2013
15.03.2013;15;6;0;0;3;11;3;1;2013
16.03.2013;16;7;1;0;3;11;3;1;2013
17.03.2013;17;1;1;0;4;12;3;1;2013
18.03.2013;18;2;0;0;4;12;3;1;2013
19.03.2013;19;3;0;0;4;12;3;1;2013
20.03.2013;20;4;0;0;4;12;3;1;2013
21.03.2013;21;5;0;0;4;12;3;1;2013
22.03.2013;22;6;0;0;4;12;3;1;2013
23.03.2013;23;7;1;0;4;12;3;1;2013
24.03.2013;24;1;1;0;5;13;3;1;2013
25.03.2013;25;2;0;0;5;13;3;1;2013
26.03.2013;26;3;0;0;5;13;3;1;2013
27.03.2013;27;4;0;0;5;13;3;1;2013
28.03.2013;28;5;0;0;5;13;3;1;2013
29.03.2013;29;6;0;0;5;13;3;1;2013
30.03.2013;30;7;1;0;5;13;3;1;2013
31.03.2013;31;1;1;0;6;14;3;1;2013
01.04.2013;1;2;0;0;1;14;4;2;2013
02.04.2013;2;3;0;0;1;14;4;2;2013
03.04.2013;3;4;0;0;1;14;4;2;2013
04.04.2013;4;5;0;0;1;14;4;2;2013
05.04.2013;5;6;0;0;1;14;4;2;2013
06.04.2013;6;7;1;0;1;14;4;2;2013
07.04.2013;7;1;1;0;2;15;4;2;2013
08.04.2013;8;2;0;0;2;15;4;2;2013
09.04.2013;9;3;0;0;2;15;4;2;2013
10.04.2013;10;4;0;0;2;15;4;2;2013
11.04.2013;11;5;0;0;2;15;4;2;2013
12.04.2013;12;6;0;0;2;15;4;2;2013
13.04.2013;13;7;1;0;2;15;4;2;2013
14.04.2013;14;1;1;0;3;16;4;2;2013
15.04.2013;15;2;0;0;3;16;4;2;2013
16.04.2013;16;3;0;0;3;16;4;2;2013
17.04.2013;17;4;0;0;3;16;4;2;2013
18.04.2013;18;5;0;0;3;16;4;2;2013
19.04.2013;19;6;0;0;3;16;4;2;2013
20.04.2013;20;7;1;0;3;16;4;2;2013
21.04.2013;21;1;1;0;4;17;4;2;2013
22.04.2013;22;2;0;0;4;17;4;2;2013
23.04.2013;23;3;0;0;4;17;4;2;2013
24.04.2013;24;4;0;0;4;17;4;2;2013
25.04.2013;25;5;0;0;4;17;4;2;2013
26.04.2013;26;6;0;0;4;17;4;2;2013
27.04.2013;27;7;1;0;4;17;4;2;2013
28.04.2013;28;1;1;0;5;18;4;2;2013
29.04.2013;29;2;0;0;5;18;4;2;2013
30.04.2013;30;3;0;0;5;18;4;2;2013
01.05.2013;1;4;0;0;1;18;5;2;2013
02.05.2013;2;5;0;0;1;18;5;2;2013
03.05.2013;3;6;0;0;1;18;5;2;2013
04.05.2013;4;7;1;0;1;18;5;2;2013
05.05.2013;5;1;1;0;2;19;5;2;2013
06.05.2013;6;2;0;0;2;19;5;2;2013
07.05.2013;7;3;0;0;2;19;5;2;2013
08.05.2013;8;4;0;0;2;19;5;2;2013
09.05.2013;9;5;0;0;2;19;5;2;2013
10.05.2013;10;6;0;0;2;19;5;2;2013
11.05.2013;11;7;1;0;2;19;5;2;2013
12.05.2013;12;1;1;0;3;20;5;2;2013
13.05.2013;13;2;0;0;3;20;5;2;2013
14.05.2013;14;3;0;0;3;20;5;2;2013
15.05.2013;15;4;0;0;3;20;5;2;2013
16.05.2013;16;5;0;0;3;20;5;2;2013
17.05.2013;17;6;0;0;3;20;5;2;2013
18.05.2013;18;7;1;0;3;20;5;2;2013
19.05.2013;19;1;1;0;4;21;5;2;2013
20.05.2013;20;2;0;0;4;21;5;2;2013
21.05.2013;21;3;0;0;4;21;5;2;2013
22.05.2013;22;4;0;0;4;21;5;2;2013
23.05.2013;23;5;0;0;4;21;5;2;2013
24.05.2013;24;6;0;0;4;21;5;2;2013
25.05.2013;25;7;1;0;4;21;5;2;2013
26.05.2013;26;1;1;0;5;22;5;2;2013
27.05.2013;27;2;0;1;5;22;5;2;2013
28.05.2013;28;3;0;0;5;22;5;2;2013
29.05.2013;29;4;0;0;5;22;5;2;2013
30.05.2013;30;5;0;0;5;22;5;2;2013
31.05.2013;31;6;0;0;5;22;5;2;2013
01.06.2013;1;7;1;0;1;22;6;2;2013
02.06.2013;2;1;1;0;2;23;6;2;2013
03.06.2013;3;2;0;0;2;23;6;2;2013
04.06.2013;4;3;0;0;2;23;6;2;2013
05.06.2013;5;4;0;0;2;23;6;2;2013
06.06.2013;6;5;0;0;2;23;6;2;2013
07.06.2013;7;6;0;0;2;23;6;2;2013
08.06.2013;8;7;1;0;2;23;6;2;2013
09.06.2013;9;1;1;0;3;24;6;2;2013
10.06.2013;10;2;0;0;3;24;6;2;2013
11.06.2013;11;3;0;0;3;24;6;2;2013
12.06.2013;12;4;0;0;3;24;6;2;2013
13.06.2013;13;5;0;0;3;24;6;2;2013
14.06.2013;14;6;0;0;3;24;6;2;2013
15.06.2013;15;7;1;0;3;24;6;2;2013
16.06.2013;16;1;1;0;4;25;6;2;2013
17.06.2013;17;2;0;0;4;25;6;2;2013
18.06.2013;18;3;0;0;4;25;6;2;2013
19.06.2013;19;4;0;0;4;25;6;2;2013
20.06.2013;20;5;0;0;4;25;6;2;2013
21.06.2013;21;6;0;0;4;25;6;2;2013
22.06.2013;22;7;1;0;4;25;6;2;2013
23.06.2013;23;1;1;0;5;26;6;2;2013
